domain,company_name
stripe.com,Stripe
shopify.com,Shopify
notion.so,Notion Labs
linear.app,Linear
typeform.com,Typeform
atlassian.com,Atlassian
canva.com,Canva
slack.com,Slack Technologies
mailchimp.com,Mailchimp
clearbit.com,Clearbit
segment.com,Segment
github.com,GitHub
linkedin.com,LinkedIn
spotify.com,Spotify
right-networks-totally-not-real-domain-12345.com,Right Networks
asana.com,Asana
monday.com,Monday.com
airtable.com,Airtable
webflow.com,Webflow
figma.com,Figma
miro.com,Miro
loom.com,Loom
intercom.com,Intercom
zoom.us,Zoom
dropbox.com,Dropbox
braintree.com,Braintree
chorus.ai,Chorus
sap.com,SAP
example-defunct-startup-2019.example,Defunct Startup
example-tiny-vertical-saas.example,Tiny Vertical SaaS
